Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Bucknor Isolo Lagos,"650,000/year","  Updated 01 Feb 2023, Added 12 Jan 2023 "," FOR RENT: Standard newly built 2 bedroom flat in a serene, secured estate: Basic features.. Read more ",Newly Built,2 beds3 baths3 Toilets
Lekki Palm City Estate Ajah Lagos Island Lagos,"3,500,000/year",  Added 01 Feb 2023 , FOR RENT: WELL STANDARD NEWLY BUILD 3BEDROOM TERRACE DUPLEX ALL ROOM EN-SUITE WITH SPE.. Read more ,Newly Built,3 beds0 baths0 Toilets
Orchid Road Lekki Lagos Island Lagos,"2,500,000/year",  Added 01 Feb 2023 , FOR RENT: *Newly Build Beautiful 2-bedroom flat all room en-suite with specious kitchen * .. Read more ,Newly Built,2 beds baths Toilets
Osborne Foreshore Estate Ikoyi Lagos,"15,000,000/year",  Added 01 Feb 2023 , FOR RENT: Osborne phase 2 5 Bedroom semi detached house with 1bedroom boys quarter. .. Read more ,,5 beds5 baths6 Toilets
Lekki Phase 1 Lekki Lagos,"9,000,000/year","  Updated 01 Feb 2023, Added 01 Feb 2023 ", FOR RENT: 4 Bedroom Terrace Duplex with BQ Location: Lekki Phase 1 Rent - 9m Agen.. Read more ,Newly Built,4 beds4 baths5 Toilets
Lagos Island Lagos,"3,200,000/year",  Added 31 Jan 2023 ," FOR RENT: *TO LET FULLY SERVICED to provide 24hrs power, water, and security all year rou.. Read more ",Newly Built,2 beds0 baths0 Toilets
Sabo Yaba Lagos,"2,250,000/year",  Added 31 Jan 2023 , FOR RENT: A Tastefully Finished Executive Newly renovated Ensuites Modern 3 bedroom Flat @.. Read more ,Furnished,0 beds0 baths0 Toilets
Ikeja Lagos,"800,000/year",  Added 31 Jan 2023 , FOR RENT: 2 bedroom Flat / Apartment for rent Remi Fanikayode Avenue Ikeja GRA Ikeja Lagos.. Read more ,Newly Built,2 beds2 baths2 Toilets
Onike Yaba Lagos,"2,500,000/year",  Added 31 Jan 2023 ," FOR RENT: 3 bedroom flat 3t2b at Zanal street estate onike yaba #2,5m 2yrs .. Read more ",Furnished,3 beds3 baths3 Toilets
Imota Ikorodu Lagos,"1,800,000","  Updated 19 Feb 2023, Added 14 Sep 2022 "," FOR SALE: 600 Sqm Land available for sale at Imota, Ikorodu. Documents - Deed of Assignm.. Read more",,0 beds0 baths0 Toilets
Ogudu Lagos,"700,000/year",  Added 31 Jan 2023 , FOR RENT: Newly renovated mini flat with all modern facilities and fenced round with gate .. Read more ,,1 beds1 baths2 Toilets
Shapati Ibeju Lekki Lagos,"900,000/year",  Added 31 Jan 2023 , FOR RENT: A newly built 3 Bedroom Flat for rent in a secured and serene gated Estate envir.. Read more ,Newly Built,3 beds3 baths4 Toilets
Ebute Metta Yaba Lagos,"500,000/year",  Added 31 Jan 2023 , FOR RENT: 500k 2yrs required Agreement &Agency fees applied .. Read more ,Newly Built,0 beds0 baths0 Toilets
Ebute Metta Yaba Lagos,"600,000/year",  Added 31 Jan 2023 , FOR RENT: 600k 2yrs is needed Agency & agreement fees applied .. Read more ,Newly Built,1 beds1 baths1 Toilets
Mende Maryland Lagos,"5,500,000/year",  Added 31 Jan 2023 , FOR RENT: A semi-furnished 4 bedroom duplex with a BQ in Mende Maryland .. Read more ,Furnished,4 beds4 baths4 Toilets
