Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Banana Island Ikoyi Lagos,"13,500,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 ", FOR RENT: For Rent: Fully serviced well maintained 3bedroom flat in a waterfront mini esta.. Read more ,Serviced,3 beds4 baths4 Toilets
Vgc Lekki Lagos,"3,300,000/year","  Updated 18 Feb 2023, Added 31 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Vgc, Lagos Rent: 3.3m per an.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"3,000,000","  Updated 14 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Newly built 3 bedroom terrace duplex in a new serviced estate by VGC. It is full.. Read more,ServicedNewly Built,3 beds3 baths4 Toilets
Old Ikoyi Ikoyi Lagos,"25,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: FOR RENT NEWLY BUILT AND WELL FINISHED 4 BEDROOM MANSIONNATE - Lovely Arc.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"12,000,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 ", FOR RENT: A 3 bedroom Apartment For Rent Price: 12 Million Naira Location:Victoria.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
Chevron Toll Gate Chevron Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos Rent: 4... Read more ",Newly Built,4 beds5 baths5 Toilets
Orchid Chevron Lekki Lagos,"3,700,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 "," FOR RENT: Location: Orchid, Lekki Bedroom apartments: 3.7M Other Charges: Agency: 10%.. Read more ",FurnishedServicedNewly Built,3 beds4 baths4 Toilets
Ikate Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 01 Feb 2023 "," FOR RENT: 2 Bedroom Apartment for Rent — *** 2 Bed, 2 Bathroom ***Ikate, Lekki, **.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Chevron Lekki Lagos,"2,500,000/year","  Updated 18 Feb 2023, Added 19 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Chevron, Lagos Price: 2.5m per a.. Read more ",Serviced,2 beds3 baths3 Toilets
Ologolo Lekki Lagos,"2,700,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 2 Bedroom Apartment for Rent — 2 Bed, 2 Baths Ologolo, Lekki, Lagos 2,70.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Ikate Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 27 Jan 2023 ", FOR RENT: TO LET Tastefully Finished 5 Bedroom Fully Detached Duplex. Location Ik.. Read more ,ServicedNewly Built,5 beds6 baths6 Toilets
Oyibo Adjoha Street Off Admiralty Way Lekki Phase 1 Lekki Lagos,"12,500,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 ", FOR RENT: FOR RENT 5 BEDROOM DETACHED DUPLEX WITH 2 ROOMS BQ WITHIN A SERENE NEIGHBOURHO.. Read more ,,5 beds5 baths7 Toilets
Omole Phase 2 Ojodu Lagos,"270,000,000","  Updated 19 Feb 2023, Added 21 Jan 2023 ", FOR SALE: A detailed finished 5 Bedroom Duplex in Omole phase 2 Ojodu Lagos Nigeria. (with.. Read more,Newly Built,6 beds7 baths7 Toilets
Victoria Island Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 07 Feb 2023 ", FOR RENT: 5 BEDROOM PENTHOUSE IN VICTORIA ISLAND FOR RENTAL Location - Victoria Island .. Read more ,FurnishedNewly Built,5 beds6 baths6 Toilets
Oniru Victoria Island Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Oniru,Victoria Island.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"5,500,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikota, Lekki, L.. Read more ",Newly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Chevron, Lagos Rent: 4m per .. Read more ",Serviced,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths Second Toll Gate, Le.. Read more ",Newly Built,4 beds5 baths5 Toilets
Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 19 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Ikate, Lagos Rent: 5m per an.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bed, 4 Baths Lekki Phase 1, Lagos 10,.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
