Location,Description,Listing_Type,Price,Beds,Baths,Toilets,City,Location_Area,Newly Built,Furnished,Serviced,Date_Added,Date_Updated
Agungi Lekki Lagos, FOR RENT: TO LET Newly built and Spacious 5 bedroom Fully detached duplex with fitted .. Read more ,Rent,8000000.0,5.0,6.0,6.0,Lekki,Island,1.0,0.0,0.0,2023-01-26,2023-02-18
Chevron Toll Gate Chevron Lekki Lagos," FOR RENT: 5 BEDROOM FULLY DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos?????? R.. Read more ",Rent,10000000.0,5.0,6.0,6.0,Lekki,Island,1.0,0.0,0.0,2023-01-29,2023-02-18
Lekki Palm City Ajah Lagos," FOR RENT: 4 BEDROOM DETACHED DUPLEX FOR RENT !!! Location: Ajah, Lagos Price: 4m per .. Read more ",Rent,4000000.0,4.0,5.0,5.0,Ajah,Island,1.0,0.0,0.0,2023-01-16,2023-02-18
Ajah Lagos," FOR RENT: 4 bedroom detached duplex with bq, spacious rooms in a well Serene environment i.. Read more ",Rent,5000000.0,4.0,5.0,5.0,Ajah,Island,1.0,0.0,0.0,2022-11-08,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT !!! Location: Chevron, Lagos Price: 5m pe.. Read more ",Rent,5000000.0,4.0,5.0,5.0,Lekki,Island,0.0,0.0,1.0,2023-02-03,2023-02-18
Chevron Lekki Lagos," FOR RENT: 3 BEDROOM FLAT WITH BQ FOR RENT !!! Location: Chevron , Lagos Price: 3m Per .. Read more ",Rent,3000000.0,3.0,4.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-01-23,2023-02-18
Banana Island Ikoyi Lagos, FOR RENT: For Rent: Fully serviced well maintained 3bedroom flat in a waterfront mini esta.. Read more ,Rent,13500000.0,3.0,4.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-11,2023-02-18
Vgc Lekki Lagos," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Vgc, Lagos Rent: 3.3m per an.. Read more ",Rent,3300000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-31,2023-02-18
Old Ikoyi Ikoyi Lagos, FOR RENT: FOR RENT NEWLY BUILT AND WELL FINISHED 4 BEDROOM MANSIONNATE - Lovely Arc.. Read more ,Rent,25000000.0,0.0,0.0,0.0,Ikoyi,Island,0.0,0.0,0.0,2023-02-10,2023-02-18
Victoria Island Lagos, FOR RENT: A 3 bedroom Apartment For Rent Price: 12 Million Naira Location:Victoria.. Read more ,Rent,12000000.0,3.0,4.0,4.0,Victoria Island,Island,1.0,0.0,1.0,2023-02-14,2023-02-18
Chevron Toll Gate Chevron Lekki Lagos," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos Rent: 4... Read more ",Rent,4500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-11,2023-02-18
Orchid Chevron Lekki Lagos," FOR RENT: Location: Orchid, Lekki Bedroom apartments: 3.7M Other Charges: Agency: 10%.. Read more ",Rent,3700000.0,3.0,4.0,4.0,Lekki,Island,1.0,1.0,1.0,2023-02-14,2023-02-18
Ikate Lekki Lagos," FOR RENT: 2 Bedroom Apartment for Rent — *** 2 Bed, 2 Bathroom ***Ikate, Lekki, **.. Read more ",Rent,4000000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2023-02-01,2023-02-18
Chevron Lekki Lagos," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Chevron, Lagos Price: 2.5m per a.. Read more ",Rent,2500000.0,2.0,3.0,3.0,Lekki,Island,0.0,0.0,1.0,2023-01-19,2023-02-18
Ologolo Lekki Lagos," FOR RENT: 2 Bedroom Apartment for Rent — 2 Bed, 2 Baths Ologolo, Lekki, Lagos 2,70.. Read more ",Rent,2700000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2022-12-12,2023-02-18
Ikate Lekki Lagos, FOR RENT: TO LET Tastefully Finished 5 Bedroom Fully Detached Duplex. Location Ik.. Read more ,Rent,10000000.0,5.0,6.0,6.0,Lekki,Island,1.0,0.0,1.0,2023-01-27,2023-02-18
Oyibo Adjoha Street Off Admiralty Way Lekki Phase 1 Lekki Lagos, FOR RENT: FOR RENT 5 BEDROOM DETACHED DUPLEX WITH 2 ROOMS BQ WITHIN A SERENE NEIGHBOURHO.. Read more ,Rent,12500000.0,5.0,5.0,7.0,Lekki,Island,0.0,0.0,0.0,2023-01-16,2023-02-18
Victoria Island Lagos, FOR RENT: 5 BEDROOM PENTHOUSE IN VICTORIA ISLAND FOR RENTAL Location - Victoria Island .. Read more ,Rent,15000000.0,5.0,6.0,6.0,Victoria Island,Island,1.0,1.0,0.0,2023-02-07,2023-02-18
Oniru Victoria Island Lagos," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Oniru,Victoria Island.. Read more ",Rent,10000000.0,4.0,5.0,5.0,Victoria Island,Island,1.0,0.0,1.0,2022-12-12,2023-02-18
Ikota Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikota, Lekki, L.. Read more ",Rent,5500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-09,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Chevron, Lagos Rent: 4m per .. Read more ",Rent,4000000.0,4.0,5.0,5.0,Lekki,Island,0.0,0.0,1.0,2023-01-16,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths Second Toll Gate, Le.. Read more ",Rent,5000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-26,2023-02-18
Ikate Lekki Lagos," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Ikate, Lagos Rent: 5m per an.. Read more ",Rent,5000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-19,2023-02-18
Lekki Lagos," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bed, 4 Baths Lekki Phase 1, Lagos 10,.. Read more ",Rent,10000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-26,2023-02-18
Ikota Lekki Lagos, FOR RENT: Nicely Built 4 Bedroom Semi-Detached Duplex Location: Ikota Rent: N4.5mi.. Read more ,Rent,4500000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-01-23,2023-02-18
Chevron Lekki Lagos, FOR RENT: THIS IS WHAT WE CALL JOMBO SIZE MASSIVE 4 BEDROOM FULLY DETACHED DUPLEX FOR R.. Read more ,Rent,5500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-11,2023-02-18
Chevron Lekki Lagos, FOR RENT: 5 Bedroom Apartment For Sale. ——————————————————— DETAILS >>>> Chevron N7M .. Read more ,Rent,7000000.0,5.0,6.0,6.0,Lekki,Island,1.0,0.0,0.0,2023-02-07,2023-02-18
Chevron Lekki Lagos, FOR RENT: FOR RENT !!! 3 BEDROOM SELF SERVICED APARTMENT FOR RENT !!! Location: Chevro.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Lekki,Island,0.0,0.0,0.0,2023-01-25,2023-02-18
Banana Island Road Ikoyi Lagos," FOR RENT: FULLY FURNISHED 3 BEDROOM APARTMENT FOR RENT !!! Location: Banana Island, Lag.. Read more ",Rent,10000000.0,3.0,4.0,4.0,Ikoyi,Island,1.0,1.0,1.0,2023-02-11,2023-02-18
Banana Island Ikoyi Lagos," FOR RENT: 3 BEDROOM PENTHOUSE FOR RENT!!! Location: Banana Island, Lagos Rent: 14m pe.. Read more ",Rent,14000000.0,3.0,4.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-02-14,2023-02-18
Chevron Lekki Lagos, FOR RENT: TO LET Beautifully built and Spacious 3 bedroom maisonette. Rent:N4M Agen.. Read more ,Rent,4000000.0,0.0,4.0,4.0,Lekki,Island,1.0,0.0,1.0,2023-01-27,2023-02-18
Ikate Lekki Lagos, FOR RENT: FOR RENT!!! 3 BEDROOM SERVICED APARTMENT WITH BQ FOR RENT!!! Location: Ikate.. Read more ,Rent,6500000.0,3.0,4.0,4.0,Lekki,Island,1.0,0.0,1.0,2023-02-02,2023-02-18
Osapa London Lekki Lagos, FOR RENT: To Let?? Beautiful Built 4 Bedroom Semi Detached Duplex on two floors with op.. Read more ,Rent,6500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-06,2023-02-18
