,Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
7827,Akin Adesola Akin Adesola Victoria Island Lagos,"32,500,000/year","  Updated 14 Feb 2023, Added 06 Apr 2022 ", FOR RENT: 383 sqm . Glass partitions. Central Air condition. Lift. Cctv. Car parks. 115k.. Read more ,Serviced,0 beds0 baths0 Toilets
7828,Mende Maryland Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 18 Oct 2022 "," FOR RENT: A Spacious and Decent 2 BEDROOM UP FLAT at Mende Maryland with private Stairs, B.. Read more ",,0 beds0 baths0 Toilets
7829,Chevron Lekki Lagos,"1,400,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 ", FOR RENT: TO LET STUDIO SHARED APARTMENT AT CHEVRON ALTERNATIVE LEKKI PHASE RENT 1.4M PE.. Read more ,,0 beds0 baths0 Toilets
7830,Bode Thomas Surulere Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 13 Jan 2023 ", FOR RENT: TOLET. AN EXCELLENT AND SUPERB NEWLY BUILT 3 UNITS OF 2 BEDROOM FLAT UP AND D.. Read more ,Newly Built,2 beds2 baths3 Toilets
7831,Ebute Metta Adekunle Yaba Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 13 Dec 2022 ", FOR RENT: Lovely.. Read more ,Newly Built,2 beds2 baths2 Toilets
7832,Lekki Scheme 2 Ajah Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 07 Nov 2022 ", FOR RENT: A newly built mini flat! Eric .. Read more ,Newly Built,0 beds0 baths0 Toilets
7833,Okoba Abule Egba Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 25 Jan 2023 ", FOR RENT: *NEW DUPLEX TO LET Newly built 2unit 3 BEDROOM TERRACE DUPLEXES *LOCATION.. Read more ,,3 beds0 baths0 Toilets
7834,Badore Ajah Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 31 Jan 2023 "," FOR RENT: Exquisitely Newly Built 3 Bedroom Apartments For Rent Price: 1,200,000 (Upstair.. Read more ",Newly Built,3 beds3 baths4 Toilets
7835,Gudugba Iju Lagos,"350,000/year","  Updated 14 Feb 2023, Added 24 Aug 2022 ", FOR RENT: JUST OUT Mini flat at Gudugba off iju road -Anybody with good job RENT: 350.. Read more ,,0 beds0 baths0 Toilets
7836,Morocco Shomolu Lagos,"900,000/year","  Updated 14 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths2 Toilets
7837,Bye Pass Ilupeju Ilupeju Lagos,"1,800,000/year","  Updated 14 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Newly Built 2 & 3 Bedrooms Flat @ Ilupeju Lagos with amazing features; **Well.. Read more ,,2 beds2 baths3 Toilets
7838,Good News Estate By Thera Annex Estate Sangotedo Ajah Lagos,"800,000/year","  Updated 14 Feb 2023, Added 22 Dec 2022 "," FOR RENT: 2 BEDROOM FLAT VERY SPACIOUS LOCATION; GOODNEWS ESTATE, BY THERA HANEX, SANG.. Read more ",,2 beds2 baths3 Toilets
7839,Off Adetokumbo Ademola Victoria Island Lagos,"62,000,000/year","  Updated 14 Feb 2023, Added 30 Dec 2022 "," FOR RENT: Commercial space for Bank use, for lease in Victoria Island on 1,200sqm. Pric.. Read more ",,0 beds0 baths0 Toilets
7840,Berger Ojodu Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 28 Jan 2023 ", FOR RENT: Tolet 3 bedroom flat at ojodu for both commercial and residential going for 1m u.. Read more ,,0 beds0 baths0 Toilets
7841,Omole Phase 1 Ojodu Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 27 Oct 2022 ", FOR RENT: TO LET OMOLE PHASE1 Standard 3-bedroom flat all room ensuite pop finished .. Read more ,,0 beds0 baths0 Toilets
7842,"Command, Ipaja Alimosho Lagos","400,000/year","  Updated 14 Feb 2023, Added 12 Oct 2022 ", FOR RENT: To Let. Direct Brief Decent Mini Flat Fence Gate Water All round tiles F.. Read more ,,0 beds0 baths0 Toilets
7843,Lekki Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 13 Jan 2023 ", FOR RENT: 4 bedroom terrace duplex at Orchid road opposite mega one Rent 4.5m Agency.. Read more ,,4 beds4 baths5 Toilets
7844,Ogudu Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 ", FOR RENT: TO LET A renovated 3 bedroom flat with a room bq in a serene environment at O.. Read more ,,3 beds3 baths4 Toilets
7845,Aguda Surulere Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 14 Dec 2022 ", FOR RENT: A SPECTACULAR NEWLY RENOVATED LUVLY 2BEDROOM FLAT UPSTAIRS ALL ROOMS EN-SUITE IN.. Read more ,,2 beds2 baths3 Toilets
7846,Banana Island Ikoyi Lagos,"19,000,000/year","  Updated 14 Feb 2023, Added 19 Dec 2022 ", FOR RENT: Location: Banana Island Luxury 4 bedroom all rooms en-suite penthouse apartme.. Read more ,FurnishedServiced,4 beds4 baths5 Toilets
7847,Isefun Ayobo Ipaja Lagos,"500,000/year","  Updated 14 Feb 2023, Added 09 May 2022 ", FOR RENT: 3 bedroom 500k rent total 800k Isefun ayobo.. Read more ,,0 beds0 baths0 Toilets
7848,Seaside Estate Badore Ajah Lagos,"1,100,000/year","  Updated 14 Feb 2023, Added 14 Dec 2022 "," FOR RENT: TO LET At Seaside Estate, Badore Road, Ajah, Lagos. (1.) 2bedrooms Upstairs... Read more ",,2 beds2 baths3 Toilets
7849,Omole Phase 2 Ojodu Lagos,"7,500,000/year","  Updated 14 Feb 2023, Added 07 Jan 2023 ", FOR RENT: Brand New 5 bedroom detached Duplex with Bq in omole phase 2 for 7.5m.. Read more ,,5 beds5 baths6 Toilets
7850,Osapa London Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 07 Jan 2023 ", FOR RENT: 3 Bedroom Flat for Rent. Location. Osapa London lekki. (Downstairs) Rent .. Read more ,,3 beds3 baths4 Toilets
7851,Ikeja Lagos,"10,000,000/year","  Updated 14 Feb 2023, Added 29 Dec 2022 ", FOR RENT: 5 BEDROOM FULLY DETACHED DUPLEX FOR LEASE 10M PER YEAR .OWNER WANT AT LEAST 3-5Y.. Read more ,,5 beds5 baths5 Toilets
7852,Old Ikoyi Ikoyi Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 03 Jul 2022 ", FOR RENT: Closeable Joint Venture (2)JOINT VENTURE Cameron Road by Kingsway Road Size.. Read more ,,0 beds0 baths0 Toilets
7853,Ojodu Lagos,"850,000/year","  Updated 14 Feb 2023, Added 28 Apr 2022 ", FOR RENT: Spacious renovated 3bedroom 3toilet 2bath of before ebo ojodu Abiodun in a gate.. Read more ,,0 beds0 baths0 Toilets
7854,Opebi Ikeja Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 08 Aug 2022 "," FOR RENT: To Let 140sqm open plan office space for rent at off Allen, ikeja. Terms: .. Read more ",,0 beds0 baths0 Toilets
7855,Egbe Idimu Lagos,"800,000/year","  Updated 14 Feb 2023, Added 09 Nov 2022 ", FOR RENT: CHURCH HALL TO LET @ IDIMU Inside the street Close to the main road Spacio.. Read more ,,0 beds0 baths0 Toilets
7856,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 17 Jan 2023 ", FOR RENT: *MAGODO PHASE2 PROPERTY TO LET ======================= *Description: Brand new.. Read more ,Newly Built,3 beds3 baths4 Toilets
7857,Alausa Ikeja Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 13 Sep 2022 ", FOR RENT: Just out 3 bedroom flat office space along KUDIRAT ABIOLA WAY alausa upstairs.. Read more ,,0 beds0 baths0 Toilets
7858,"Along Oba Akran Avenue, Ikeja Lagos","30,000,000/year","  Updated 14 Feb 2023, Added 29 Aug 2022 ", FOR RENT: FOR LONG LEASE A ( OFFICE COMPLEX ) Property: A Story Building Of Office Co.. Read more ,,0 beds0 baths0 Toilets
7859,Olowora Ojodu Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 01 Feb 2023 ", FOR RENT: To let 3bedrooms flat at olowora omole phase 2 extension 1.2m Chnd.. Read more ,Newly Built,3 beds3 baths4 Toilets
7860,Omole Phase 1 Ojodu Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 15 Sep 2022 "," FOR RENT: A Lovely 5bedroom fully detached Duplex with Toilets ..P. O. P finished, Wardro.. Read more ",,0 beds0 baths0 Toilets
7861,Badore Ajah Lagos,"1,100,000/year","  Updated 14 Feb 2023, Added 28 Jan 2023 ", FOR RENT: An executive mini flat in an estate... Read more ,,0 beds0 baths0 Toilets
7862,Ikota Lekki Lagos,"1,700,000/year","  Updated 14 Feb 2023, Added 16 Jan 2023 "," FOR RENT: 3 Bedroom Apartment For Rent Price: 1,700,000 Caution: 85,000 Agency: 170,000.. Read more ",,3 beds3 baths4 Toilets
7863,Nicon Town Lekki Lagos,"15,000,000/year","  Updated 14 Feb 2023, Added 09 Jan 2023 "," FOR RENT: Fully furnished 4 bedroom fully detached duplex FOR RENT in Nicon Town, Ikate, L.. Read more ",Furnished,4 beds4 baths5 Toilets
7864,Majek Sangotedo Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 06 Jan 2023 "," FOR RENT: Super Standard, Tastefully, Very Comfortable, well structured 2 bedroom Flat .. Read more ",,2 beds2 baths3 Toilets
7865,Badore Ajah Lagos,"750,000/year","  Updated 14 Feb 2023, Added 25 Nov 2022 ", FOR RENT: A newly built mini flat in an estate! Momoh .. Read more ,Newly Built,0 beds0 baths0 Toilets
7866,Lekki Phase 1 Lekki Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 19 Dec 2022 ", FOR RENT: Luxury 3 bedroom terrace duplex Location: Lekki phase 1 Price:#6million .. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
7867,Sangotedo Ajah Lagos,"900,000/year","  Updated 14 Feb 2023, Added 17 Dec 2022 "," FOR RENT: LUXURY 2 BEDROOM FLAT AVAILABLE =========================== RENT:. N900,000 S.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
7868,Magodo Kosofe Ikosi Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 29 Nov 2022 ", FOR RENT: To let 3bedroom flat @ Magodo Phase 1 GRA isheri wth bq very good location #3.5m.. Read more ,,0 beds0 baths0 Toilets
7869,Iju Lagos,"1,100,000/year","  Updated 14 Feb 2023, Added 07 Jun 2022 "," FOR RENT: SELF COMPOUND 4BEDROOM BUNGALOW Elliot iju ishaga , ALL ROOM ENSUITE OGUNDIMU.. Read more ",,0 beds0 baths0 Toilets
7870,Sanusi Fafunwa Victoria Island Lagos,"7,000,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 ", FOR RENT: DESCRIPTION: ```Second floor 3-bedroom flat *LOCATION: ```Sanusi Fafunwa Stree.. Read more ,,3 beds3 baths4 Toilets
7871,Magodo Kosofe Ikosi Lagos,"800,000/year","  Updated 14 Feb 2023, Added 16 Dec 2022 ", FOR RENT: letting letting a lovely 2bedroom flat all rooms ensuit with tasteful fini.. Read more ,,0 beds0 baths0 Toilets
7872,Lekki Lagos,"7,000,000/year","  Updated 14 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Letting A Spacious shop space measuring about 150sqm Location; off Fola .. Read more ,,0 beds1 baths1 Toilets
7873,Onipan Ikorodu Road(ilupeju) Ilupeju Lagos,"700,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths1 Toilets
7874,Peace Estate Soluyi Gbagada Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Extra large decent 3bed room flat at gbagada peace Estate 2in a compound upstair.. Read more ,,3 beds3 baths4 Toilets
7875,Opebi Ikeja Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 17 Aug 2022 ", FOR RENT: TO LET DIRECT INSTRUCTION FULLY SERVICED - 24-HOURS LIGHT LUXURY 3 BEDROOM APA.. Read more ,,0 beds0 baths0 Toilets
7876,Oregun Ikeja Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 25 Jan 2023 ", FOR RENT: *JUST OUT Brand New 3 Bedroom Flat with all rooms En suite and guest toilet a.. Read more ,,3 beds3 baths4 Toilets
7877,"Ojodu Grammar School, Ojodu Lagos","1,600,000/year","  Updated 14 Feb 2023, Added 16 Sep 2022 ", FOR RENT: Now letting Newly Built 2 Bedroom flat all room ensuit with tasteful finishe.. Read more ,,0 beds0 baths0 Toilets
7878,Thomas Estate Ajah Lagos,"2,600,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Luxury Brand New 2 Bedroom All En-Suite Fully Serviced Apartments Features .. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
7879,Oke Ira Ogba Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 17 Jan 2023 ", FOR RENT: Executive 2 bedroom flats at oke ira silifatu abioye up and down 1.2m .. Read more ,,0 beds0 baths0 Toilets
7880,Soluyi Gbagada Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 "," FOR RENT: Fresh Gbagada Letting: Decent and Spacious 3 bedroom flat, ground floor with .. Read more ",,3 beds3 baths4 Toilets
7881,Berger Ojodu Lagos,"7,500,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 "," FOR RENT: TO LET 1,050SQM WAREHOUSE SPACD WITH DOUBLE ENTRANCES HIGH ENOUGH FOR ANY CONTAI.. Read more ",,0 beds0 baths0 Toilets
7882,Apple Junction Amuwo Odofin Lagos,"2,300,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Lovely and newly built 2 bedroom flat upstairs and downstairs very standard and .. Read more ,Newly Built,2 beds2 baths3 Toilets
7883,Ifako Gbagada Gbagada Lagos,"5,000,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: *Fresh Letting Spacious 4 bedrooms semi-detached (self-compound) duplex with.. Read more ,,4 beds4 baths5 Toilets
7884,Oba Akran Ikeja Lagos,"45,000,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: IKEJA WAREHOUSE LETTING. Location; off oba Akran Road by Akilo Road. A sel.. Read more ,,0 beds0 baths0 Toilets
7885,Ijaiye Road Ogba Bus Stop Ogba Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 04 Feb 2023 ", FOR RENT: 110SQM OF OPEN SPACE ALONG IJAIYE ROAD OGBA LAGOS RENT 2M PER ANNUM 2 YEARS .. Read more ,,0 beds0 baths0 Toilets
7886,Along Oba Akran Avenue Oba Akran Ikeja Lagos,"30,000,000/year","  Updated 14 Feb 2023, Added 15 Sep 2022 ", FOR RENT: FOR LONG LEASE ( OFFICE COMPLEX ) Property Descriptions: A Story Building Of .. Read more ,, beds10 baths10 Toilets
7887,Sawmill Gbagada Lagos,"1,600,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 "," FOR RENT: To Let Decent 3 bedroom flat with 2t2b, all tiled, wardrobes,POP, and kitchen c.. Read more ",,3 beds2 baths2 Toilets
7888,Badore Ajah Lagos,"1,800,000/year","  Updated 14 Feb 2023, Added 18 Dec 2022 ", FOR RENT: A standard three bedroom flat in an estate! Eric .. Read more ,Newly Built,3 beds0 baths0 Toilets
7889,Ikota Lekki Lagos,"7,500,000/year","  Updated 14 Feb 2023, Added 06 Feb 2023 ", FOR RENT: TO LET 180SQM OFFICE SPÀCE AT IKOTA LEKKI FACING LEKKI EPE EXPRESSWAY RENT 7.5.. Read more ,,0 beds0 baths0 Toilets
7890,Berger Ojodu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 29 Dec 2022 "," FOR RENT: TO LET Just Alink 5bedroom duplex at Ojodu abiodun beger, price:1.5m good for.. Read more ",,0 beds0 baths0 Toilets
7891,River Valley Estate Ojodu Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 18 Oct 2022 ", FOR RENT: 3 bedrooms are now available in river valley estate going for 2.5m just 2 people.. Read more ,,0 beds0 baths0 Toilets
7892,Bajulaiye Shomolu Lagos,"600,000/year","  Updated 14 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths1 Toilets
7893,Oregun Ikeja Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 ", FOR RENT: Newly built 3 bedroom flat inside peace estate oregun Ikeja Rent -3.5m(owner wa.. Read more ,,0 beds0 baths0 Toilets
7894,Oregun Ikeja Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 15 Jan 2023 "," FOR RENT: Tolet newly renovated 4 blocks of 3 bedroom all room all ensuite, with order win.. Read more ",,3 beds3 baths4 Toilets
7895,Berger Ojodu Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 "," FOR RENT: This is a pay and pack in 3 bedroom flat with al round tiles, 3t/b, dinning spac.. Read more ",Furnished,3 beds4 baths4 Toilets
7896,"Unity Estate, Ojodu Lagos","1,200,000/year","  Updated 14 Feb 2023, Added 03 Aug 2022 ", FOR RENT: Just in To let 3bedroom bungalow all room ensuit just 2 flat in a compound .. Read more ,,0 beds0 baths0 Toilets
7897,Sangotedo Ajah Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Brand New Luxury 3 Bedroom Terraced Duplex in a Tightly Secured Estate Featur.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
7898,Sule Abore Street Ojodu Lagos,"900,000/year","  Updated 14 Feb 2023, Added 09 Dec 2022 ", FOR RENT: To let?? 2 units of 2bedroom flat all tiles with 2toiles and bath at Sule Abo.. Read more ,,0 beds0 baths0 Toilets
7899,"By Freedom Way, Lekki Phase 1 Lekki Phase 1 Lekki Lagos","100,000,000","  Updated 19 Feb 2023, Added 21 Oct 2022 "," FOR SALE: THE CELLO Luxury 3 Bedroom Apartments, Rooftop Lounge and Gymnasium, Elevator, .. Read more",Serviced,3 beds3 baths4 Toilets
7900,Awolowo Road Ikoyi Lagos,"50,000,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 "," FOR RENT: *LAND FOR LEASE ON AWOLOWO ROAD, IKOYI, LAGOS. A Land with buildings measurin.. Read more ",, beds baths Toilets
7901,Magodo Gra Phase 1 Ojodu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Spacious 2 bedroom flat for rent at magodo isheri. Back of Tob plaza. All rooms.. Read more ,Furnished,2 beds3 baths3 Toilets
7902,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"5,000,000","  Updated 14 Feb 2023, Added 12 May 2022 ", FOR RENT: 5bedroom terrace duplex with servant quarter for ?5m.. Read more ,,0 beds0 baths0 Toilets
7903,Medina Gbagada Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 06 Feb 2023 "," FOR RENT: *Fresh letting Decent 3 bedrooms up flat 3t 2b, a room ensuite all tiled POP .. Read more ",,3 beds2 baths3 Toilets
7904,Olokonla Ajah Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 11 Oct 2022 ", FOR RENT: Brand New shops facing the expressway Features +Personal Toilets +Fitted Li.. Read more ,ServicedNewly Built,0 beds0 baths1 Toilets
7905,Abraham Adesanya Estate Ajah Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 "," FOR RENT: 2 Bedroom Apartments for Rent Price: 2,000,000 Caution: 100,000 Caution: 200,.. Read more ",Serviced,2 beds2 baths2 Toilets
7906,Millenuim Ups Gbagada Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 11 Jan 2023 ", FOR RENT: Newly built 3 bedroom flat on two floors in millennium estate Gbagada 3.5m .. Read more ,Newly Built,3 beds3 baths4 Toilets
7907,Chevron Lekki Lagos,"750,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 ", FOR RENT: TO LET GUEST ROOM SHARED APARTMENT AT CHEVRON ALTERNATIVE LEKKI RENT 750K PER .. Read more ,,0 beds0 baths0 Toilets
7908,Abraham Adesanya Estate Ajah Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 20 Jan 2023 "," FOR RENT: 4 Bedroom Detached Duplex with Bq FOR RENT Price: 4,000,000 Caution: 200,000 .. Read more ",Newly Built,4 beds4 baths5 Toilets
7909,Oceanbay Estate Off Orchid Hotel Road 2nd Toll Gate Lekki Lagos,"7,000,000/year","  Updated 14 Feb 2023, Added 11 Feb 2023 ", FOR RENT: 5BEDROOM DETACHED DUPLEX FOR SALE / RENT Amenities: - [ ] Fitted Kitchen .. Read more ,,4 beds4 baths4 Toilets
7910,Magodo Gra Phase 1 Ojodu Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 02 Feb 2023 ", FOR RENT: *TO LET 2 bedroom flat at Magodo Isheri. Rent: N1 million per annum other charg.. Read more ,,2 beds2 baths3 Toilets
7911,Magodo Gra Phase 1 Ojodu Lagos,"800,000/year","  Updated 14 Feb 2023, Added 11 Aug 2022 ", FOR RENT: Newly built Mini flat in a serene environment of magodo phase 1 isheri Rent 800k.. Read more ,,0 beds0 baths0 Toilets
7912,Ikota Lekki Lagos,"2,200,000/year","  Updated 14 Feb 2023, Added 24 Jan 2023 "," FOR RENT: Serviced 3 Bedroom Apartment For Rent Price: 2,200,000 Caution: 220,000 Legal.. Read more ",Serviced,3 beds2 baths4 Toilets
7913,Berger Ojodu Lagos,"5,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 ", FOR RENT: TO LET EXECUTIVE NEWLY BUILT 4 BEDROOM TERRACE AND SERVICED DUPLEX AT WATERFALL .. Read more ,ServicedNewly Built,4 beds4 baths4 Toilets
7914,Berger Ojodu Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 ", FOR RENT: * Very spacious 3 bedroom flat * 3 toilet and bath * in a big compound could .. Read more ,Furnished,3 beds4 baths4 Toilets
7915,Ikota Lekki Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 27 Jan 2023 "," FOR RENT: 3 Bedroom Terrace Duplex For Rent Price: 3,500,000 Caution: 350,000 Legal: 35.. Read more ",Newly Built,3 beds3 baths4 Toilets
7916,Osapa London Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 25 Jan 2023 ", FOR RENT: 2 bedroom self-serviced flat to let at Osapa London. Ground floor. Rent: N.. Read more ,,2 beds2 baths3 Toilets
7917,"Inside Bamako Estate, Opposite Omole Phase 1 Ojodu Lagos","1,500,000/year","  Updated 14 Feb 2023, Added 16 Sep 2022 "," FOR RENT: A Clean 3 Bedroom Flat Up Stairs inside Bamako Estate, Opposite Omole Phase 1 La.. Read more ",,0 beds0 baths0 Toilets
7918,Ogba Lagos,"65,000,000/year","  Updated 14 Feb 2023, Added 15 Nov 2022 ", FOR RENT: A beautiful Solid Block of 4 numbers of 2 bedroom flats and one number of a room.. Read more ,,0 beds0 baths0 Toilets
7919,Olokonla Ajah Lagos,"5,000,000/year","  Updated 14 Feb 2023, Added 06 Feb 2023 ", FOR RENT: Luxury 4 Bedroom Fully Detached Duplex inside an Estate Features +Alone in t.. Read more ,Newly Built,4 beds4 baths5 Toilets
7920,Banana Island Ikoyi Lagos,"1,500,000,000","  Updated 20 Feb 2023, Added 20 Nov 2022 ", FOR SALE: DIRECT INSTRUCTION FROM THE OWNER FOR SALE: NEWLY BUILT 5 BEDROOM FULLY D.. Read more,Newly Built,5 beds5 baths6 Toilets
7921,Aguda Surulere Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 15 Jan 2023 ", FOR RENT: A NEWLY BUILT EXCELLENT 3 BEDROOM FLAT DOWNSTAIRS IN A BLOCK OF 4FLAT WITH 3TOIL.. Read more ,Newly Built,3 beds3 baths4 Toilets
7922,Onipan Shomolu Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths2 Toilets
7923,Adeniyi Jones Ikeja Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 19 Jan 2023 ", FOR RENT: 22sqm office space on the 3rd floor directly on Adeniyi Jones Ikeja.#1m per annu.. Read more ,,0 beds0 baths0 Toilets
7924,Shangisha Kosofe Ikosi Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 07 Jan 2023 "," FOR RENT: JUST OUT Lovely 2 bedroom apartment with tails n pop, Modern facilities intac.. Read more ",,2 beds2 baths3 Toilets
7925,Off Road 14 Lekki Phase 1 Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 05 Feb 2023 ", FOR RENT: A very big Shop in a commercial area at off Road 14 Lekki Phase one. Rent: # 3 .. Read more ,,0 beds0 baths1 Toilets
7926,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 06 May 2022 ", FOR RENT: Just in To Let 5bedroom duplex self compound with a room BQ has a/c and C.. Read more ,,0 beds0 baths0 Toilets
7927,Orchid Hotel Road By Orchid Hotel Chevron Lekki Lagos,"3,800,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 ", FOR RENT: To Let. A very spacious clean 4 bedroom terrace duplex ensuite with self park.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
7928,Boys Town Ipaja Lagos,"1,200,000","  Updated 14 Feb 2023, Added 29 Apr 2022 "," FOR RENT: A Newly built 3bedrooms and 2 bedrooms all-round pop, and all ensuite, water hea.. Read more ",,0 beds0 baths0 Toilets
7929,Chevron Lekki Lagos,"1,100,000/year","  Updated 14 Feb 2023, Added 14 Jul 2022 ", FOR RENT: Magnificent and Standard Room Self Contain With All Modern Facilities Equipped I.. Read more ,,0 beds0 baths0 Toilets
7930,Lekki Scheme 2 Ajah Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 "," FOR RENT: Newly built Fully Service Luxury 2 Bedroom Terrace in a peak estate, Premium.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
7931,Ikoyi Lagos,"10,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 "," FOR RENT: Luxury 2-bedroom apartment situated within south-west Ikoyi, Lagos. Rental pr.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
7932,Lawson Road By Ogunlana Drive Ogunlana Surulere Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 13 Dec 2022 "," FOR RENT: Lovely Newly renovated 2br flat up & down with p-o-p ceiling, All en-suite car-p.. Read more ",,2 beds2 baths3 Toilets
7933,Ikota Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 "," FOR RENT: 3 Bedroom Terrace Duplex for Rent Price: 3,000,000 Caution: 100,000 Legal: 30.. Read more ",,3 beds3 baths3 Toilets
7934,Ikate Surulere Lagos,"1,300,000/year","  Updated 14 Feb 2023, Added 14 Dec 2022 "," FOR RENT: For rent/Hot and still fresh two bedroom flat with all room ensuit, visitors toi.. Read more ",,2 beds2 baths3 Toilets
7935,Ikota Lekki Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent Price: 4,000,000 Caution: 200,000 Legal: 4.. Read more ",ServicedNewly Built,4 beds4 baths4 Toilets
7936,Toyin Street Ikeja Lagos,"1,600,000/year","  Updated 14 Feb 2023, Added 03 Jun 2022 ", FOR RENT: Well Maintained and Neat Office Space Off Toyin Ikeja for 1.6m Kindly send me.. Read more ,,0 beds0 baths1 Toilets
